event_number,track_id,step_number,x,y,z,ux,uy,uz,angle,step_length,track_length,E_kin,E_dep
8,1,4,0.035,0.028,-0.274,-0.649,0.639,-0.413,47.918,0.257,0.871,33.984,8.520
8,1,5,-0.020,0.082,-0.309,0.522,-0.114,-0.845,69.421,0.180,1.052,24.230,9.754
8,1,6,0.006,0.076,-0.350,0.840,-0.363,-0.404,91.664,0.109,1.160,22.733,1.497
8,1,7,0.043,0.060,-0.368,0.881,0.103,-0.461,65.636,0.099,1.259,19.576,3.157
8,1,8,0.074,0.064,-0.384,0.353,-0.028,0.935,114.059,0.080,1.340,12.148,7.428
8,1,9,0.080,0.063,-0.368,0.738,-0.587,-0.334,105.742,0.044,1.384,11.195,0.953
8,1,10,0.092,0.054,-0.373,-0.230,-0.558,-0.797,98.951,0.041,1.424,10.590,0.605
8,1,11,0.088,0.047,-0.385,0.684,0.708,0.175,50.972,0.038,1.463,8.406,2.184
8,1,12,0.095,0.054,-0.383,0.622,0.314,0.717,88.457,0.031,1.493,5.158,3.249
8,1,13,0.098,0.055,-0.379,0.548,0.831,-0.097,32.373,0.021,1.514,1.247,3.911
8,1,14,0.099,0.056,-0.379,0.548,0.831,-0.097,32.373,0.004,1.518,0.000,1.247
9,1,0,0.000,0.000,0.000,-0.808,0.110,0.579,0.000,0.000,0.000,50.000,0.000
9,1,2,-0.128,0.017,0.092,-0.924,-0.326,0.199,34.269,0.332,0.334,46.092,3.908
9,1,3,-0.255,-0.027,0.119,-0.062,-0.633,-0.772,117.757,0.292,0.626,42.949,3.142
9,1,4,-0.263,-0.105,0.024,0.728,-0.375,0.573,107.364,0.261,0.887,39.129,3.820
9,1,5,-0.186,-0.144,0.085,-0.632,0.051,0.773,15.466,0.225,1.112,34.067,5.063
9,1,6,-0.239,-0.140,0.150,-0.706,-0.272,0.654,23.221,0.181,1.293,26.445,7.621
9,1,7,-0.279,-0.156,0.187,0.347,0.903,0.254,91.993,0.123,1.417,24.030,2.415
9,1,8,-0.262,-0.112,0.199,-0.143,0.738,0.659,54.675,0.107,1.524,19.463,4.567
9,1,9,-0.267,-0.086,0.222,0.482,0.425,-0.766,141.830,0.080,1.603,15.701,3.762
9,1,10,-0.255,-0.075,0.203,-0.599,-0.406,0.690,32.983,0.060,1.664,12.619,3.082
9,1,11,-0.266,-0.083,0.215,-0.426,0.895,0.134,58.654,0.046,1.710,8.975,3.644
9,1,12,-0.271,-0.073,0.217,-0.052,-0.405,0.913,58.284,0.033,1.742,6.035,2.941
9,1,13,-0.271,-0.075,0.223,-0.084,0.752,-0.654,103.162,0.023,1.766,4.897,1.138
9,1,14,-0.271,-0.072,0.220,0.479,0.844,0.243,98.852,0.020,1.786,3.411,1.485
9,1,15,-0.270,-0.069,0.220,0.122,-0.980,0.155,96.706,0.015,1.801,0.483,2.928
9,1,16,-0.270,-0.070,0.220,0.122,-0.980,0.155,96.706,0.001,1.803,0.000,0.483
10,1,0,0.000,0.000,0.000,0.596,-0.759,-0.262,0.000,0.000,0.000,50.000,0.000
10,1,2,0.094,-0.120,-0.041,-0.584,-0.403,-0.704,81.815,0.332,0.334,45.713,4.287
10,1,3,0.015,-0.175,-0.137,0.165,-0.160,0.973,92.027,0.288,0.622,39.077,6.637
10,1,4,0.033,-0.192,-0.035,0.232,-0.086,0.969,92.873,0.224,0.847,34.501,4.575
10,1,5,0.053,-0.199,0.049,-0.247,-0.539,-0.806,61.807,0.185,1.031,30.351,4.150
10,1,6,0.035,-0.237,-0.008,0.240,-0.122,-0.963,60.800,0.152,1.183,23.890,6.461
10,1,7,0.047,-0.243,-0.054,0.877,-0.032,-0.479,47.738,0.106,1.290,16.166,7.724
10,1,8,0.070,-0.244,-0.067,-0.317,0.773,-0.550,129.185,0.062,1.352,14.232,1.934
10,1,9,0.063,-0.227,-0.079,-0.336,0.922,0.195,161.920,0.053,1.405,11.630,2.602
10,1,10,0.058,-0.212,-0.076,-0.379,-0.920,0.103,63.558,0.042,1.447,5.965,5.664
10,1,11,0.055,-0.217,-0.075,0.573,-0.815,0.090,20.546,0.023,1.470,3.667,2.299
10,1,12,0.057,-0.220,-0.075,0.057,-0.962,-0.266,33.513,0.016,1.487,0.466,3.201
10,1,13,0.057,-0.220,-0.075,0.057,-0.962,-0.266,33.513,0.001,1.488,0.000,0.466
11,1,0,0.000,0.000,0.000,-0.190,-0.968,-0.166,0.000,0.000,0.000,50.000,0.000
11,1,2,-0.030,-0.153,-0.026,-0.937,-0.276,-0.215,61.239,0.332,0.334,40.865,9.135
11,1,3,-0.136,-0.184,-0.051,-0.958,-0.282,0.055,63.539,0.241,0.575,36.597,4.268
11,1,4,-0.227,-0.211,-0.045,0.862,-0.349,0.367,83.520,0.202,0.778,25.677,10.920
11,1,5,-0.180,-0.230,-0.026,0.454,-0.554,-0.698,55.602,0.118,0.896,21.297,4.380
11,1,6,-0.162,-0.252,-0.054,0.453,-0.528,0.718,72.206,0.090,0.986,15.174,6.123
11,1,7,-0.151,-0.265,-0.036,0.981,-0.106,-0.162,93.287,0.058,1.044,13.110,2.064
11,1,8,-0.132,-0.267,-0.040,-0.387,-0.908,0.160,22.237,0.048,1.092,8.871,4.238
11,1,9,-0.136,-0.277,-0.038,0.735,0.030,-0.677,93.261,0.032,1.124,6.440,2.432
11,1,10,-0.131,-0.277,-0.042,0.381,-0.525,0.761,71.978,0.025,1.149,5.231,1.209
11,1,11,-0.129,-0.279,-0.039,-0.700,0.349,0.623,107.930,0.021,1.170,3.575,1.656
11,1,12,-0.131,-0.278,-0.037,-0.248,0.562,-0.789,111.443,0.016,1.186,1.677,1.898
11,1,13,-0.132,-0.278,-0.038,-0.248,0.562,-0.789,111.443,0.007,1.192,0.000,1.677
12,1,0,0.000,0.000,0.000,0.217,0.649,-0.729,0.000,0.000,0.000,50.000,0.000
12,1,1,0.000,0.001,-0.001,0.107,0.620,-0.777,7.091,0.002,0.002,49.925,0.075
12,1,2,0.017,0.098,-0.123,-0.734,-0.301,-0.609,84.871,0.332,0.333,44.116,5.808
12,1,3,-0.077,0.059,-0.201,-0.217,0.777,0.591,88.466,0.272,0.606,42.261,1.856
12,1,4,-0.103,0.152,-0.130,0.345,0.222,-0.912,27.928,0.254,0.860,38.173,4.088
12,1,5,-0.068,0.175,-0.222,0.826,0.418,0.379,79.958,0.216,1.076,31.244,6.929
12,1,6,-0.007,0.205,-0.195,-0.706,-0.707,0.042,129.997,0.159,1.235,28.807,2.437
12,1,7,-0.053,0.160,-0.192,0.282,0.958,0.052,49.824,0.140,1.375,27.758,1.050
12,1,8,-0.036,0.218,-0.189,-0.274,0.859,0.432,79.440,0.133,1.508,26.100,1.658
12,1,9,-0.051,0.265,-0.165,0.077,0.996,-0.049,45.620,0.121,1.629,20.138,5.962
12,1,10,-0.048,0.302,-0.167,0.567,0.559,-0.605,22.039,0.084,1.713,15.939,4.198
12,1,11,-0.033,0.317,-0.182,0.934,0.322,-0.153,58.465,0.061,1.774,13.161,2.778
12,1,12,-0.015,0.323,-0.185,-0.154,0.258,0.954,124.108,0.048,1.822,12.156,1.005
12,1,13,-0.018,0.327,-0.169,-0.847,0.227,-0.481,71.643,0.044,1.867,9.934,2.222
12,1,14,-0.029,0.330,-0.175,0.465,-0.860,0.211,127.677,0.036,1.902,7.829,2.106
12,1,15,-0.025,0.322,-0.173,-0.555,-0.180,-0.812,69.234,0.029,1.931,4.211,3.617
12,1,16,-0.027,0.322,-0.176,-0.535,-0.202,0.821,147.713,0.018,1.949,1.007,3.204
12,1,17,-0.027,0.322,-0.176,-0.535,-0.202,0.821,147.713,0.003,1.952,0.000,1.007
13,1,0,0.000,0.000,0.000,0.606,-0.703,0.373,0.000,0.000,0.000,50.000,0.000
13,1,2,0.096,-0.111,0.059,0.171,0.973,0.152,121.580,0.332,0.334,45.086,4.914
13,1,3,0.119,0.018,0.079,-0.548,-0.728,-0.412,88.503,0.282,0.616,42.539,2.548
13,1,4,0.053,-0.070,0.030,-0.634,-0.002,-0.773,132.200,0.257,0.873,35.370,7.169
13,1,5,-0.004,-0.070,-0.040,0.489,-0.413,-0.768,72.548,0.192,1.065,28.761,6.609
13,1,6,0.027,-0.097,-0.089,0.046,0.051,0.998,68.632,0.140,1.205,26.673,2.087
13,1,7,0.030,-0.094,-0.032,1.000,-0.006,0.012,52.094,0.125,1.330,23.065,3.608
13,1,8,0.075,-0.094,-0.031,0.012,0.980,-0.197,139.028,0.101,1.431,20.883,2.182
13,1,9,0.076,-0.056,-0.039,0.177,0.785,0.594,102.857,0.088,1.519,19.064,1.819
13,1,10,0.082,-0.029,-0.019,-0.117,0.046,-0.992,118.268,0.078,1.596,17.178,1.885
